OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
7.708: [GC (Allocation Failure) [PSYoungGen: 27760K->800K(28672K)] 46664K->19712K(61440K), 0.0005295 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.802: [GC (Allocation Failure) [PSYoungGen: 26912K->2080K(28160K)] 45824K->21008K(60928K), 0.0008890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.912: [GC (Allocation Failure) [PSYoungGen: 27664K->2016K(27648K)] 46591K->20960K(60416K), 0.0005271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.005: [GC (Allocation Failure) [PSYoungGen: 27104K->2465K(27136K)] 46048K->21448K(59904K), 0.0009945 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.100: [GC (Allocation Failure) [PSYoungGen: 27025K->2177K(26624K)] 46008K->21168K(59392K), 0.0010703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.211: [GC (Allocation Failure) [PSYoungGen: 26240K->3041K(27136K)] 45231K->27187K(59904K), 0.0010241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.305: [GC (Allocation Failure) [PSYoungGen: 27077K->3041K(29696K)] 51223K->31677K(62464K), 0.0015741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.307: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 28636K->8009K(32768K)] 31677K->8009K(62464K), [Metaspace: 2889K->2889K(1056768K)], 0.0026189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.400: [GC (Allocation Failure) [PSYoungGen: 26594K->3041K(29696K)] 34603K->15917K(62464K), 0.0012029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.511: [GC (Allocation Failure) [PSYoungGen: 29663K->1664K(29696K)] 42539K->14556K(62464K), 0.0004851 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.605: [GC (Allocation Failure) [PSYoungGen: 28265K->3041K(29696K)] 41158K->16525K(62464K), 0.0008207 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.700: [GC (Allocation Failure) [PSYoungGen: 29636K->3041K(29696K)] 43120K->17526K(62464K), 0.0007063 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.810: [GC (Allocation Failure) [PSYoungGen: 29635K->3041K(29184K)] 44120K->20487K(61952K), 0.0007774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.905: [GC (Allocation Failure) [PSYoungGen: 29153K->2529K(29184K)] 46599K->23769K(61952K), 0.0013144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.000: [GC (Allocation Failure) [PSYoungGen: 29126K->3041K(29696K)] 50366K->29476K(62464K), 0.0011490 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.001: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 26434K->8716K(32768K)] 29476K->8716K(62464K), [Metaspace: 2889K->2889K(1056768K)], 0.0031884 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.110: [GC (Allocation Failure) [PSYoungGen: 26624K->480K(29696K)] 35340K->9196K(62464K), 0.0008294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.250: [GC (Allocation Failure) [PSYoungGen: 27095K->1824K(29696K)] 35812K->10557K(62464K), 0.0010095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.359: [GC (Allocation Failure) [PSYoungGen: 28436K->3041K(29696K)] 37169K->12494K(62464K), 0.0009170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.453: [GC (Allocation Failure) [PSYoungGen: 29661K->3041K(29696K)] 39114K->14175K(62464K), 0.0009990 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
