OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
1.592: [GC (Allocation Failure) [PSYoungGen: 7773K->6050K(14336K)] 36022K->34308K(58368K), 0.0008028 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.637: [GC (Allocation Failure) [PSYoungGen: 13199K->4482K(14336K)] 41456K->32755K(58368K), 0.0012019 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.700: [GC (Allocation Failure) [PSYoungGen: 11636K->3393K(14336K)] 39910K->31683K(58368K), 0.0007419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.702: [GC (Allocation Failure) [PSYoungGen: 10547K->2337K(14336K)] 38837K->30642K(58368K), 0.0005108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.747: [GC (Allocation Failure) [PSYoungGen: 9491K->1280K(14336K)] 37796K->29602K(58368K), 0.0007362 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.794: [GC (Allocation Failure) [PSYoungGen: 8434K->224K(14336K)] 36756K->28561K(58368K), 0.0008701 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.796: [GC (Allocation Failure) [PSYoungGen: 7378K->7139K(14336K)] 35715K->35653K(58368K), 0.0012227 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.798: [GC (Allocation Failure) [PSYoungGen: 14293K->6307K(14336K)] 42807K->34820K(58368K), 0.0014302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.841: [GC (Allocation Failure) [PSYoungGen: 13444K->4226K(14336K)] 41958K->32747K(58368K), 0.0008463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.889: [GC (Allocation Failure) [PSYoungGen: 11380K->3137K(14336K)] 39901K->31675K(58368K), 0.0006793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
